ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-5857N|refseq:NP_006265|uniprotkb:Q99731	DIP-5855N|refseq:NP_001829|uniprotkb:P32248	 -	-	-	-	MI:0401(biochemical)|MI:0013(biophysical)	-	pubmed:9507024|pubmed:DIP-1313S|pubmed:9153236|pubmed:DIP-1314S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10391E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5858N|refseq:NP_002977|uniprotkb:P51671	DIP-5846N|refseq:NP_001828|uniprotkb:P51677	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:10733106|pubmed:DIP-1363S|pubmed:9207005|pubmed:DIP-1464S|pubmed:9169459|pubmed:DIP-1333S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10393E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5832N|refseq:NP_001286|uniprotkb:P32246	DIP-5861N|refseq:NP_004157|uniprotkb:Q16627	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)	-	pubmed:9687537|pubmed:DIP-1331S|pubmed:9687537|pubmed:DIP-1331S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10418E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5865N|uniprotkb:P51684	DIP-5864N|refseq:NP_004582|uniprotkb:P78556	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:10498628|pubmed:DIP-1369S|pubmed:10488147|pubmed:DIP-1364S|pubmed:9169459|pubmed:DIP-1333S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10419E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5833N|refseq:NP_000639|uniprotkb:P41597	DIP-5838N|refseq:NP_002973|uniprotkb:P13500	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:9169459|pubmed:DIP-1333S|pubmed:9312096|pubmed:DIP-1423S|pubmed:9336350|pubmed:DIP-1415S|pubmed:10770925|pubmed:DIP-1742S|pubmed:10488147|pubmed:DIP-1364S|pubmed:8530354|pubmed:DIP-1353S|pubmed:9115216|pubmed:DIP-1355S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10420E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5837N|refseq:NP_002974|uniprotkb:P10147	DIP-5866N|refseq:NP_000570|uniprotkb:P51681	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:9334377|pubmed:DIP-1718S|pubmed:10477718|pubmed:DIP-1361S|pubmed:9169459|pubmed:DIP-1333S|pubmed:9468473|pubmed:DIP-1354S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10421E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5847N|refseq:NP_006264|uniprotkb:P80098	DIP-5833N|refseq:NP_000639|uniprotkb:P41597	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:8530354|pubmed:DIP-1353S|pubmed:9336350|pubmed:DIP-1415S|pubmed:9312096|pubmed:DIP-1423S|pubmed:9195948|pubmed:DIP-1404S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10450E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5840N|refseq:NP_002975|uniprotkb:P13236	DIP-5866N|refseq:NP_000570|uniprotkb:P51681	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:10477718|pubmed:DIP-1361S|pubmed:9468473|pubmed:DIP-1354S|pubmed:10498628|pubmed:DIP-1369S|pubmed:9334377|pubmed:DIP-1718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10451E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5866N|refseq:NP_000570|uniprotkb:P51681	DIP-5871N|refseq:NP_005614|uniprotkb:P80075	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:9468473|pubmed:DIP-1354S|pubmed:10477718|pubmed:DIP-1361S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10452E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5871N|refseq:NP_005614|uniprotkb:P80075	DIP-5832N|refseq:NP_001286|uniprotkb:P32246	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9115216|pubmed:DIP-1355S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10453E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5833N|refseq:NP_000639|uniprotkb:P41597	DIP-5871N|refseq:NP_005614|uniprotkb:P80075	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:9115216|pubmed:DIP-1355S|pubmed:9195948|pubmed:DIP-1404S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10454E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5832N|refseq:NP_001286|uniprotkb:P32246	DIP-5838N|refseq:NP_002973|uniprotkb:P13500	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9115216|pubmed:DIP-1355S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10455E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5873N|refseq:NP_057686|uniprotkb:P46092	DIP-5872N|refseq:NP_006655|uniprotkb:Q9Y4X3	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:10781587|pubmed:DIP-1372S|pubmed:10725697|pubmed:DIP-1356S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10456E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5866N|refseq:NP_000570|uniprotkb:P51681	DIP-31N|refseq:NP_002976|uniprotkb:P13501	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:10477718|pubmed:DIP-1361S|pubmed:9207005|pubmed:DIP-1464S|pubmed:10488147|pubmed:DIP-1364S|pubmed:9334377|pubmed:DIP-1718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10461E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5847N|refseq:NP_006264|uniprotkb:P80098	DIP-5866N|refseq:NP_000570|uniprotkb:P51681	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10477718|pubmed:DIP-1361S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10462E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5874N|refseq:NP_005399|uniprotkb:Q99616	DIP-5866N|refseq:NP_000570|uniprotkb:P51681	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10477718|pubmed:DIP-1361S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10463E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5838N|refseq:NP_002973|uniprotkb:P13500	DIP-5866N|refseq:NP_000570|uniprotkb:P51681	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10477718|pubmed:DIP-1361S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10464E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5858N|refseq:NP_002977|uniprotkb:P51671	DIP-5866N|refseq:NP_000570|uniprotkb:P51681	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10477718|pubmed:DIP-1361S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10466E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5876N|refseq:NP_002982|uniprotkb:O00175	DIP-5846N|refseq:NP_001828|uniprotkb:P51677	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10733106|pubmed:DIP-1363S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10472E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5846N|refseq:NP_001828|uniprotkb:P51677	DIP-5874N|refseq:NP_005399|uniprotkb:Q99616	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10733106|pubmed:DIP-1363S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10473E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5847N|refseq:NP_006264|uniprotkb:P80098	DIP-5846N|refseq:NP_001828|uniprotkb:P51677	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10733106|pubmed:DIP-1363S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10474E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5877N|refseq:NP_006063|uniprotkb:Q9Y258	DIP-5846N|refseq:NP_001828|uniprotkb:P51677	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10488147|pubmed:DIP-1364S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10476E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5879N|refseq:NP_001328|uniprotkb:P49238	DIP-5878N|refseq:NP_002987|uniprotkb:P78423	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10488147|pubmed:DIP-1364S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10477E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5884N|refseq:NP_006632|uniprotkb:P51686	DIP-5883N|uniprotkb:O15444	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:10498628|pubmed:DIP-1369S|pubmed:10229797|pubmed:DIP-1368S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10481E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5884N|refseq:NP_006632|uniprotkb:P51686	DIP-5885N|uniprotkb:O35903	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10498628|pubmed:DIP-1369S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10483E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5890N|refseq:NP_005400|uniprotkb:O14625	DIP-5891N|refseq:NP_001495|uniprotkb:P49682	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:9625760|pubmed:DIP-1376S|pubmed:11259614|pubmed:DIP-1377S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10490E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5891N|refseq:NP_001495|uniprotkb:P49682	DIP-5892N|refseq:NP_002407|uniprotkb:Q07325	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)|MI:0045(experimental interaction detection)	-	pubmed:9660793|pubmed:DIP-1398S|pubmed:11259614|pubmed:DIP-1377S|pubmed:9625760|pubmed:DIP-1376S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10491E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5893N|uniprotkb:P02778	DIP-5891N|refseq:NP_001495|uniprotkb:P49682	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:9625760|pubmed:DIP-1376S|pubmed:9660793|pubmed:DIP-1398S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10492E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5894N|uniprotkb:P48061	DIP-5848N|refseq:NP_005499|uniprotkb:P51679	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:11527993|pubmed:DIP-1379S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10493E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5895N|refseq:NP_000600|uniprotkb:P48061	DIP-5848N|refseq:NP_005499|uniprotkb:P51679	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10556181|pubmed:DIP-1380S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10494E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5896N|refseq:NP_001502|uniprotkb:P09341	DIP-3782N|refseq:NP_001548|uniprotkb:P25025	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:8550564|pubmed:DIP-1465S|pubmed:10216072|pubmed:DIP-1381S|pubmed:9195914|pubmed:DIP-1403S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10495E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5858N|refseq:NP_002977|uniprotkb:P51671	DIP-5891N|refseq:NP_001495|uniprotkb:P49682	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9660793|pubmed:DIP-1398S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10524E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5891N|refseq:NP_001495|uniprotkb:P49682	DIP-5874N|refseq:NP_005399|uniprotkb:Q99616	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9660793|pubmed:DIP-1398S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10525E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5847N|refseq:NP_006264|uniprotkb:P80098	DIP-5891N|refseq:NP_001495|uniprotkb:P49682	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9660793|pubmed:DIP-1398S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10526E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5891N|refseq:NP_001495|uniprotkb:P49682	DIP-31N|refseq:NP_002976|uniprotkb:P13501	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9660793|pubmed:DIP-1398S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10527E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5896N|refseq:NP_001502|uniprotkb:P09341	DIP-3779N|refseq:NP_000625|uniprotkb:P25024	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9195914|pubmed:DIP-1403S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10538E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5833N|refseq:NP_000639|uniprotkb:P41597	DIP-5874N|refseq:NP_005399|uniprotkb:Q99616	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9195948|pubmed:DIP-1404S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10539E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5873N|refseq:NP_057686|uniprotkb:P46092	DIP-5894N|uniprotkb:P48061	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10725697|pubmed:DIP-1356S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10557E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5905N|uniprotkb:Q9Z1X0	DIP-5873N|refseq:NP_057686|uniprotkb:P46092	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:10725697|pubmed:DIP-1356S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10558E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5906N|refseq:NP_057641|uniprotkb:Q9NPB9	DIP-5874N|refseq:NP_005399|uniprotkb:Q99616	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10734104|pubmed:DIP-1416S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10559E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5906N|refseq:NP_057641|uniprotkb:Q9NPB9	DIP-5847N|refseq:NP_006264|uniprotkb:P80098	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10734104|pubmed:DIP-1416S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10560E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5871N|refseq:NP_005614|uniprotkb:P80075	DIP-5906N|refseq:NP_057641|uniprotkb:Q9NPB9	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10734104|pubmed:DIP-1416S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10561E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5906N|refseq:NP_057641|uniprotkb:Q9NPB9	DIP-5838N|refseq:NP_002973|uniprotkb:P13500	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10734104|pubmed:DIP-1416S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10562E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5896N|refseq:NP_001502|uniprotkb:P09341	DIP-3783N|uniprotkb:Q16570	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7592830|pubmed:DIP-1418S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10564E	dip-quality-status:core	dip:0002(small scale)		-
DIP-3782N|refseq:NP_001548|uniprotkb:P25025	DIP-5908N|refseq:NP_002080|uniprotkb:P19875	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8702798|pubmed:DIP-1420S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10568E	dip-quality-status:core	dip:0002(small scale)		-
DIP-3782N|refseq:NP_001548|uniprotkb:P25025	DIP-5909N|uniprotkb:P19876	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8702798|pubmed:DIP-1420S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10569E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5911N|refseq:NP_002985|uniprotkb:P42830	DIP-3782N|refseq:NP_001548|uniprotkb:P25025	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8702798|pubmed:DIP-1420S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10571E	dip-quality-status:core	dip:0002(small scale)		-
DIP-3779N|refseq:NP_000625|uniprotkb:P25024	DIP-5911N|refseq:NP_002985|uniprotkb:P42830	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8702798|pubmed:DIP-1420S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10572E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5913N|refseq:NP_002695|uniprotkb:P02775	DIP-3782N|refseq:NP_001548|uniprotkb:P25025	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)	-	pubmed:8702798|pubmed:DIP-1420S|pubmed:8550564|pubmed:DIP-1465S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10574E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5913N|refseq:NP_002695|uniprotkb:P02775	DIP-3779N|refseq:NP_000625|uniprotkb:P25024	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8702798|pubmed:DIP-1420S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10575E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5840N|refseq:NP_002975|uniprotkb:P13236	DIP-5834N|refseq:NP_001707|uniprotkb:P32302	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9312096|pubmed:DIP-1423S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10580E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5834N|refseq:NP_001707|uniprotkb:P32302	DIP-31N|refseq:NP_002976|uniprotkb:P13501	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9312096|pubmed:DIP-1423S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10581E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5834N|refseq:NP_001707|uniprotkb:P32302	DIP-5914N|refseq:NP_006410|uniprotkb:O43927	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:9463416|pubmed:DIP-1427S|pubmed:9463416|pubmed:DIP-1427S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10586E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5854N|refseq:NP_002980|uniprotkb:O00585	DIP-5918N|refseq:NP_057641	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10706668|pubmed:DIP-1436S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10598E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5918N|refseq:NP_057641	DIP-5857N|refseq:NP_006265|uniprotkb:Q99731	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10706668|pubmed:DIP-1436S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10599E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5918N|refseq:NP_057641	DIP-5883N|uniprotkb:O15444	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10706668|pubmed:DIP-1436S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10601E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5918N|refseq:NP_057641	DIP-5914N|refseq:NP_006410|uniprotkb:O43927	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10706668|pubmed:DIP-1436S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10602E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5919N|refseq:NP_031577|uniprotkb:Q04683	DIP-5914N|refseq:NP_006410|uniprotkb:O43927	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9486651|pubmed:DIP-1438S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10603E	dip-quality-status:core	dip:0002(small scale)		-
